model,n_cases,jsd_permutation,jsd_retest_floor,jsd_shuffled_diagnostic,jsd_between_case_ceiling,order_effect,ci_lo,ci_hi,informative_rate,informative_perm,informative_retest,informative_shuffled,n_cases_informative,order_effect_informative,oei_ci_lo,oei_ci_hi,normalised_order_effect,top1_flip_rate,top5_jaccard,mean_entropy_bits
qwen3-4b-nothink,1956,0.12844860935796878,0.07222997232648655,0.09063812183195785,0.3338845250730355,0.05621863703148225,0.0518122552609873,0.06057666374779842,0.5524651552720684,0.5962266080376316,0.6087771623348956,0.3346114519427403,1280,0.041953530713287876,0.036543754442500215,0.04741274626757071,0.21485824130084324,0.7955010224948875,0.7744240576636623,4.4918159354834755
qwen3-4b-think,1956,0.13146875630411223,0.11428543683620232,0.06579152230316342,0.3278655578472489,0.0173102809526845,0.01249140227758471,0.022214826640399973,0.5339313572387088,0.5577007943512798,0.5656000733473916,0.4524682651622003,1551,0.02917244969997104,0.021387840489428836,0.03711278779185032,0.08045373973274024,0.6993865030674846,0.8399755296157696,4.918556332995702
qwen3-8b-nothink,1956,0.2023050501166356,0.1692304126514548,0.1640525965733642,0.34346872613597756,0.03307463746518078,0.0285639959854399,0.03744179851418531,0.7552530674846626,0.7991308793456032,0.7985685071574642,0.6004601226993865,1773,0.038674415243546145,0.03312374896986266,0.044294464649643865,0.1898241368602248,0.9468302658486708,0.5452372386506673,4.508013762695711
qwen3-8b-think,1956,0.1843674372417776,0.1610932885337316,0.14493441123095846,0.31114870268318273,0.023274148708046,0.01725869616491953,0.02912053698924741,0.7246634287661895,0.7559304703476483,0.755453306066803,0.6226993865030674,1829,0.024359767216639364,0.016125762734686175,0.032648581374008716,0.15510369179259056,0.885480572597137,0.6630563760761442,4.649684314704237
qwen3-32b-nothink,1956,0.290754034356224,0.25615902891867576,0.24067203595035513,0.5285734246452062,0.03459500543754826,0.027006072804419592,0.04196739809717982,0.7858469665985004,0.8143149284253579,0.8157805044308112,0.691717791411043,1824,0.03926907724940831,0.029607227418066887,0.0484943490475747,0.12699404282686014,0.9279141104294478,0.520851456919964,4.004318195790566
qwen3-32b-think,1956,0.30945179994557176,0.2665540215652963,0.2130810153491811,0.6705029255700615,0.04289777838027549,0.03499630506846335,0.05077883174564182,0.5934049079754601,0.6512269938650307,0.6510736196319018,0.43328220858895705,1577,0.0630590058955321,0.05226437079179017,0.07384631817798545,0.10619605092373124,0.8870143149284253,0.635702068072552,3.9018887686113746
medgemma-1.5-4b,1956,0.28357571194322917,0.28153427484634136,0.268132257662927,0.35318544132204827,0.0020414370968878538,-0.003935581481441023,0.008265810184372734,0.7323321404226312,0.7449386503067484,0.7421608725289707,0.6973415132924335,1932,0.001912543928029562,-0.004531321048030628,0.008602478594199154,0.028491330948254037,0.9938650306748467,0.4405538694308292,4.591035123510387
medgemma-27b,1956,0.27122577357955546,0.24638554793475745,0.24509323501166488,0.5817038994568527,0.02484022564479802,0.01732902187466933,0.03228658001558306,0.666249147920927,0.716717791411043,0.7194955691888207,0.4754601226993865,1688,0.02897907179700686,0.018918387748712875,0.03915779454675429,0.07407952929519637,0.83640081799591,0.6893431056433783,3.892746868674638
med42-8b,1956,0.26228387686334226,0.2549770811483188,0.29294577566308555,0.369684497545252,0.007306795715023437,-0.001467323861768317,0.015954438268054316,0.9977590320381732,0.9970858895705521,0.9957396046353102,0.998721881390593,1956,0.007145184047873105,-0.001704609486307693,0.015788689143000516,0.06369941843811604,0.9570552147239264,0.6055377926373156,4.198878170389174
gpt-oss-20b,1956,0.28655818119292437,0.2831214593223854,0.3273427478571541,0.445997278234334,0.003354456158704147,-0.0015242876518266031,0.008159098156131783,0.9996600080402733,0.9997754070746772,0.9994371482176361,0.9997057958223007,1955,0.003309236792784282,-0.0016155957479906656,0.008105645086454975,0.021100258426923754,0.9585889570552147,0.35211419141238254,4.2229512662204565
r1-distill-32b,1956,0.2750414065462574,0.2616131307938746,0.2065190383866879,0.5215953608184503,0.013428275752382802,0.004239838113040293,0.02205484977348919,0.5257881731424676,0.5460633946830266,0.5522324471710974,0.46140081799591004,1683,0.020428599828005253,0.006529490394546279,0.033664695662108356,0.05165074455709323,0.9376278118609407,0.6266838705489013,4.5288516055389945
