model,n_items,mean_spurious_jsd,median_spurious_jsd,p90_spurious_jsd,certified_true_jsd,ratio_to_truth,retest_floor,excess_over_floor,frac_above_floor,top1_flip_rate,mean_entropy_change,confidence_inflation_rate
qwen3-4b-nothink,1495,0.07588087098783132,0.014476088862810873,0.26032656490612593,0.000031217662184577485,2430.7031878036937,0.07222997232648655,0.0036508986613447703,0.2909698996655518,0.345819397993311,-0.05907097341430259,0.3063545150501672
qwen3-4b-think,1360,0.09521348955951184,0.013216470029907595,0.31918078159422386,0.000030133534476625292,3159.7186063045256,0.11428543683620232,-0.019071947276690482,0.2639705882352941,0.2647058823529412,-0.04765043631131653,0.3669117647058823
qwen3-8b-nothink,1495,0.080373162914306,0.026950456502324954,0.28278860702221603,0.000031217662184577485,2574.605440954925,0.1692304126514548,-0.0888572497371488,0.15785953177257525,0.40668896321070236,-0.08470819430538423,0.37993311036789296
qwen3-8b-think,1495,0.10618799783595514,0.022064943211113318,0.3190339554873938,0.000031217662184577485,3401.535874406873,0.1610932885337316,-0.05490529069777644,0.19130434782608696,0.2963210702341137,-0.04814064690292157,0.3585284280936455
qwen3-32b-nothink,1495,0.22139655536596728,0.11073700240772064,0.5875591792559824,0.000031217662184577485,7092.028674566932,0.25615902891867576,-0.03476247355270848,0.3505016722408027,0.5464882943143813,-0.16004672541348872,0.4882943143812709
qwen3-32b-think,1495,0.25177462551669916,0.0873700058737929,0.8802887964609734,0.000031217662184577485,8065.133898498133,0.2665540215652963,-0.014779396048597127,0.3451505016722408,0.4234113712374582,-0.09273429021986089,0.3565217391304348
medgemma-1.5-4b,1495,0.2549895858485112,0.22635711563080355,0.5167310038848633,0.000031217662184577485,8168.119199344919,0.28153427484634136,-0.026544688997830135,0.43210702341137125,0.5411371237458193,-0.03879669698212964,0.462876254180602
medgemma-27b,1495,0.13811061163125726,0.01967203995476737,0.40593299296120955,0.000031217662184577485,4424.117693844745,0.24638554793475745,-0.10827493630350019,0.22274247491638796,0.328428093645485,-0.06049223083509565,0.3585284280936455
med42-8b,1495,0.22348164836072998,0.08711872938065125,0.884818453484589,0.000031217662184577485,7158.820767531305,0.2549770811483188,-0.03149543278758882,0.26956521739130435,0.5464882943143813,0.08084011375109658,0.49230769230769234
gpt-oss-20b,1250,0.2687173010953285,0.2402250477399834,0.5286443108231604,0.00003408522029738236,7883.689726833455,0.2831214593223854,-0.014404158227056929,0.4488,0.6976,-0.049799861857378266,0.5216
r1-distill-32b,1495,0.22875674288692469,0.04573182491112812,0.9278364578868262,0.000031217662184577485,7327.798652390369,0.2616131307938746,-0.03285638790694992,0.2782608695652174,0.38729096989966555,-0.048841264994008746,0.32240802675585284
