model,n_cases,canonical_top1,canonical_lo,canonical_hi,random_order_top1,random_lo,random_hi,accuracy_cost_of_canonical,canonical_vs_random_jsd,cvr_lo,cvr_hi,retest_flip_rate,retest_flip_lo,retest_flip_hi,permutation_flip_rate,flip_excess_over_retest
qwen3-4b-nothink,1956,0.0708077709611452,0.06032719836400818,0.081799591002045,0.05782208588957055,0.04994887525562372,0.06595092024539877,0.012985685071574646,0.12217311999534122,0.11534201082597116,0.12928714464309202,0.5276073619631901,0.5051124744376279,0.5501150306748465,0.7955010224948875,0.2678936605316974
qwen3-4b-think,1942,0.05252317198764161,0.04402677651905252,0.061791967044284246,0.0443413834518129,0.03816708661992404,0.05067038335443243,0.00818178853582871,0.11952163560726115,0.11200165273545791,0.1269090251991879,0.5383828045035824,0.515353121801433,0.5614124872057318,0.6993865030674846,0.16100369856390218
qwen3-8b-nothink,1956,0.12678936605316973,0.11324130879345604,0.14034381390593037,0.10567484662576687,0.09478399795501023,0.11671906952965234,0.02111451942740286,0.17986834645404595,0.17309108779133925,0.18663374010120515,0.8241308793456033,0.8072597137014315,0.841002044989775,0.9468302658486708,0.12269938650306755
qwen3-8b-think,1956,0.11042944785276074,0.09790388548057259,0.12321063394683027,0.09524539877300614,0.0848159509202454,0.10634074642126788,0.015184049079754597,0.15122658044644421,0.14329331554249544,0.15911145900947568,0.7372188139059305,0.7177914110429447,0.7566462167689162,0.885480572597137,0.1482617586912065
qwen3-32b-nothink,1956,0.19146216768916155,0.1766359918200409,0.20705521472392638,0.18450920245398772,0.17208461145194276,0.19739263803680981,0.00695296523517383,0.2439891709553174,0.23433131090995735,0.25420781850020796,0.8307770961145194,0.8133946830265849,0.8466257668711656,0.9279141104294478,0.09713701431492838
qwen3-32b-think,1956,0.15720858895705522,0.14314928425357873,0.17203476482617586,0.15695296523517382,0.14509202453987732,0.16861068507157465,0.00025562372188139837,0.25768826884451895,0.24593137980832516,0.2696509644882948,0.7361963190184049,0.7162576687116564,0.7561349693251533,0.8870143149284253,0.15081799591002043
medgemma-1.5-4b,1956,0.02223926380368098,0.01687116564417178,0.028118609406952964,0.022392638036809815,0.018098159509202454,0.02719836400817996,-0.00015337423312883347,0.23079562874431397,0.22342102461331795,0.23826299333892426,0.950920245398773,0.9412065439672802,0.9601226993865031,0.9938650306748467,0.042944785276073705
medgemma-27b,1956,0.11273006134969325,0.10045373210633947,0.12576687116564417,0.10153374233128834,0.09059304703476483,0.11242459100204498,0.011196319018404913,0.21627821914491327,0.20625105323678503,0.22653199549631375,0.7070552147239264,0.6866053169734151,0.726482617586912,0.83640081799591,0.12934560327198363
med42-8b,1956,0.09228016359918201,0.08103271983640081,0.10352760736196319,0.07816973415132925,0.06952965235173825,0.08706543967280164,0.014110429447852763,0.21354593261378776,0.20199594399344903,0.22525595761548886,0.8696319018404908,0.8547929447852761,0.8849693251533742,0.9570552147239264,0.08742331288343563
gpt-oss-20b,1937,0.4055240061951471,0.3866804336602994,0.4238513164687661,0.3929821144545071,0.3796897772827604,0.406402669239134,0.012541891740640021,0.238782491814951,0.23085597771345415,0.24708351617900773,0.9161125319693094,0.9038363171355499,0.9278772378516624,0.9585889570552147,0.04247642508590532
r1-distill-32b,1956,0.09867075664621677,0.0869120654396728,0.11042944785276074,0.11104294478527607,0.10148133946830266,0.12116564417177914,-0.012372188139059298,0.2243067113165235,0.21216334098694542,0.23650216866479118,0.83640081799591,0.820040899795501,0.852760736196319,0.9376278118609407,0.10122699386503065
